,ID,FL,APP,AA,LA,SC,LC,HON,SMS,EXP,DRV,AMB,GSP,POT,KJ,SUIT
0,1,6,7,2,5,8,8,8,8,3,8,9,7,5,7,10
1,2,9,10,5,8,10,10,9,10,5,9,9,8,8,8,10
2,3,7,8,3,6,9,9,9,7,4,9,9,8,6,8,10
3,4,5,6,8,5,6,6,9,2,8,4,5,8,7,6,5
4,5,6,8,8,8,4,4,9,5,8,5,5,8,8,7,7
5,6,7,7,7,6,8,8,10,5,9,6,5,8,6,6,6
6,7,9,9,8,8,8,8,8,8,10,8,10,8,9,8,10
7,8,9,9,9,8,9,9,8,8,10,9,10,9,9,9,10
8,9,9,9,7,8,8,8,8,5,9,8,9,8,8,8,10
9,10,4,7,10,2,10,10,7,10,3,10,10,10,9,3,10
10,11,4,7,10,0,10,8,3,9,5,9,10,8,10,2,5
11,12,4,7,10,4,10,10,7,8,2,8,8,10,10,3,7
12,13,6,9,8,10,5,4,9,4,4,4,5,4,7,6,8
13,14,8,9,8,9,6,3,8,2,5,2,6,6,7,5,6
14,15,4,8,8,7,5,4,10,2,7,5,3,6,6,4,6
15,16,6,9,6,7,8,9,8,9,8,8,7,6,8,6,10
16,17,8,7,7,7,9,5,8,6,6,7,8,6,6,7,8
17,18,6,8,8,4,8,8,6,4,3,3,6,7,2,6,4
18,19,6,7,8,4,7,8,5,4,4,2,6,8,3,5,4
19,20,4,8,7,8,8,9,10,5,2,6,7,9,8,8,9
20,21,3,8,6,8,8,8,10,5,3,6,7,8,8,5,8
21,22,9,8,7,8,9,10,10,10,3,10,8,10,8,10,8
22,23,7,10,7,9,9,9,10,10,3,9,9,10,9,10,8
23,24,9,8,7,10,8,10,10,10,2,9,7,9,9,10,8
24,25,6,9,7,7,4,5,9,3,2,4,4,4,4,5,4
25,26,7,8,7,9,5,4,8,2,3,4,5,6,5,5,6
26,27,2,10,7,8,8,9,10,5,3,5,6,7,6,4,5
